"naics","industry_name"
"423490"," Other professional equipment and supplies merchant wholesalers"
"423510"," Metal service centers and other metal merchant wholesalers"
"423520"," Coal and other mineral and ore merchant wholesalers"
"423610"," Electrical apparatus and equipment, wiring supplies, and related equipment merchant wholesalers"
"423620"," Household appliances, electric housewares, and consumer electronics merchant wholesalers"
"423690"," Other electronic parts and equipment merchant wholesalers"
"423710"," Hardware merchant wholesalers"
"423720"," Plumbing and heating equipment and supplies (hydronics) merchant wholesalers"
"423730"," Warm air heating and air-conditioning equipment and supplies merchant wholesalers"
"423740"," Refrigeration equipment and supplies merchant wholesalers"
"423810"," Construction and mining (except oil well) machinery and equipment merchant wholesalers"
"423820"," Farm and garden machinery and equipment merchant wholesalers"
"423830"," Industrial machinery and equipment merchant wholesalers"
"423840"," Industrial supplies merchant wholesalers"
"423850"," Service establishment equipment and supplies merchant wholesalers"
"423860"," Transportation equipment and supplies (except motor vehicle) merchant wholesalers"
"423910"," Sporting and recreational goods and supplies merchant wholesalers"
"423920"," Toy and hobby goods and supplies merchant wholesalers"
"423930"," Recyclable material merchant wholesalers"
"423940"," Jewelry, watch, precious stone, and precious metal merchant wholesalers"
"423990"," Other miscellaneous durable goods merchant wholesalers"
"424110"," Printing and writing paper merchant wholesalers"
"424120"," Stationery and office supplies merchant wholesalers"
"424130"," Industrial and personal service paper merchant wholesalers"
"424210"," Drugs and druggists' sundries merchant wholesalers"
"424310"," Piece goods, notions, and other dry goods merchant wholesalers"
"424340"," Footwear merchant wholesalers"
"424350"," Clothing and clothing accessories merchant wholesalers"
"424410"," General line grocery merchant wholesalers"
"424420"," Packaged frozen food merchant wholesalers"
"424430"," Dairy product (except dried or canned) merchant wholesalers"
"424440"," Poultry and poultry product merchant wholesalers"
"424450"," Confectionery merchant wholesalers"
"424460"," Fish and seafood merchant wholesalers"
"424470"," Meat and meat product merchant wholesalers"
"424480"," Fresh fruit and vegetable merchant wholesalers"
"424490"," Other grocery and related products merchant wholesalers"
"424510"," Grain and field bean merchant wholesalers"
"424520"," Livestock merchant wholesalers"
"424590"," Other farm product raw material merchant wholesalers"
"424610"," Plastics materials and basic forms and shapes merchant wholesalers"
"424690"," Other chemical and allied products merchant wholesalers"
"424710"," Petroleum bulk stations and terminals"
"424720"," Petroleum and petroleum products merchant wholesalers (except bulk stations and terminals)"
"424810"," Beer and ale merchant wholesalers"
"424820"," Wine and distilled alcoholic beverage merchant wholesalers"
"424910"," Farm supplies merchant wholesalers"
"424920"," Book, periodical, and newspaper merchant wholesalers"
"424930"," Flower, nursery stock, and florists' supplies merchant wholesalers"
"424940"," Tobacco product and electronic cigarette merchant wholesalers"
"424950"," Paint, varnish, and supplies merchant wholesalers"
"424990"," Other miscellaneous nondurable goods merchant wholesalers"
"425120"," Wholesale trade agents and brokers"
"441110"," New car dealers"
"441120"," Used car dealers"
"441210"," Recreational vehicle dealers"
"441222"," Boat dealers"
"441227"," Motorcycle, atv, and all other motor vehicle dealers"
"441330"," Automotive parts and accessories retailers"
"441340"," Tire dealers"
"444110"," Home centers"
"444120"," Paint and wallpaper retailers"
"444140"," Hardware retailers"
"444180"," Other building material dealers"
"444230"," Outdoor power equipment retailers"
"444240"," Nursery, garden center, and farm supply retailers"
"445110"," Supermarkets and other grocery retailers (except convenience retailers)"
"445131"," Convenience retailers"
"445132"," Vending machine operators"
"445230"," Fruit and vegetable retailers"
"445240"," Meat retailers"
"445250"," Fish and seafood retailers"
"445291"," Baked goods retailers"
"445292"," Confectionery and nut retailers"
"445298"," All other specialty food retailers"
"445320"," Beer, wine, and liquor retailers"
"449110"," Furniture retailers"
"449121"," Floor covering retailers"
"449122"," Window treatment retailers"
"449129"," All other home furnishings retailers"
"449210"," Electronics and appliance retailers"
"455110"," Department stores"
"455211"," Warehouse clubs and supercenters"
"455219"," All other general merchandise retailers"
"456110"," Pharmacies and drug retailers"
"456120"," Cosmetics, beauty supplies, and perfume retailers"
"456130"," Optical goods retailers"
"456191"," Food (health) supplement retailers"
"456199"," All other health and personal care retailers"
"457110"," Gasoline stations with convenience stores"
"457120"," Other gasoline stations"
"457210"," Fuel dealers"
"458110"," Clothing and clothing accessories retailers"
"458210"," Shoe retailers"
"458310"," Jewelry retailers"
"458320"," Luggage and leather goods retailers"
"459110"," Sporting goods retailers"
"459120"," Hobby, toy, and game retailers"
"459130"," Sewing, needlework, and piece goods retailers"
"459140"," Musical instrument and supplies retailers"
"459210"," Book retailers and news dealers"
"459310"," Florists"
"459410"," Office supplies and stationery retailers"
"459420"," Gift, novelty, and souvenir retailers"
"459510"," Used merchandise retailers"
"459910"," Pet and pet supplies retailers"
"459920"," Art dealers"
"459930"," Manufactured (mobile) home dealers"
"459991"," Tobacco, electronic cigarette, and other smoking supplies retailers"
"459999"," All other miscellaneous retailers"
"481111"," Scheduled passenger air transportation"
"481112"," Scheduled freight air transportation"
"481211"," Nonscheduled chartered passenger air transportation"
"481212"," Nonscheduled chartered freight air transportation"
"481219"," Other nonscheduled air transportation"
"482112"," Short line railroads"
"483111"," Deep sea freight transportation"
"483112"," Deep sea passenger transportation"
"483113"," Coastal and great lakes freight transportation"
"483211"," Inland water freight transportation"
"483212"," Inland water passenger transportation"
"484110"," General freight trucking, local"
"484121"," General freight trucking, long-distance, truckload"
"484122"," General freight trucking, long-distance, less than truckload"
"484210"," Used household and office goods moving"
"484220"," Specialized freight (except used goods) trucking, local"
"484230"," Specialized freight (except used goods) trucking, long-distance"
"485113"," Bus and other motor vehicle transit systems"
"485119"," Other urban transit systems"
"485210"," Interurban and rural bus transportation"
"485310"," Taxi and ridesharing services"
"485320"," Limousine service"
"485410"," School and employee bus transportation"
"485510"," Charter bus industry"
"485991"," Special needs transportation"
"485999"," All other transit and ground passenger transportation"
"486210"," Pipeline transportation of natural gas"
"486990"," All other pipeline transportation"
"487110"," Scenic and sightseeing transportation, land"
"487210"," Scenic and sightseeing transportation, water"
"487990"," Scenic and sightseeing transportation, other"
"488111"," Air traffic control"
"488119"," Other airport operations"
"488190"," Other support activities for air transportation"
"488210"," Support activities for rail transportation"
"488310"," Port and harbor operations"
"488320"," Marine cargo handling"
"488330"," Navigational services to shipping"
"488390"," Other support activities for water transportation"
"488410"," Motor vehicle towing"
"488490"," Other support activities for road transportation"
"488510"," Freight transportation arrangement"
"488991"," Packing and crating"
"488999"," All other support activities for transportation"
"491110"," Postal service"
"492110"," Couriers and express delivery services"
"492210"," Local messengers and local delivery"
"493110"," General warehousing and storage"
"493120"," Refrigerated warehousing and storage"
"493130"," Farm product warehousing and storage"
"493190"," Other warehousing and storage"
"512110"," Motion picture and video production"
"512120"," Motion picture and video distribution"
"512131"," Motion picture theaters (except drive-ins)"
"512132"," Drive-in motion picture theaters"
"512191"," Teleproduction and other postproduction services"
"512199"," Other motion picture and video industries"
"512230"," Music publishers"
"512240"," Sound recording studios"
"512250"," Record production and distribution"
"512290"," Other sound recording industries"
"513110"," Newspaper publishers"
"513120"," Periodical publishers"
"513130"," Book publishers"
"513140"," Directory and mailing list publishers"
"513191"," Greeting card publishers"
"513199"," All other publishers"
"513210"," Software publishers"
"516110"," Radio broadcasting stations"
"516120"," Television broadcasting stations"
"516210"," Media streaming distribution services, social networks, and other media networks and content providers"
"517111"," Wired telecommunications carriers"
"517112"," Wireless telecommunications carriers (except satellite)"
"517121"," Telecommunications resellers"
"517410"," Satellite telecommunications"
"517810"," All other telecommunications"
"518210"," Computing infrastructure providers, data processing, web hosting, and related services"
"519210"," Libraries and archives"
"519290"," Web search portals and all other information services"
"521110"," Monetary authorities-central bank"
"522110"," Commercial banking"
"522130"," Credit unions"
"522180"," Savings institutions and other depository credit intermediation"
"522210"," Credit card issuing"
"522220"," Sales financing"
"522291"," Consumer lending"
"522292"," Real estate credit"
"522299"," International, secondary market, and all other nondepository credit intermediation"
"522310"," Mortgage and nonmortgage loan brokers"
"522320"," Financial transactions processing, reserve, and clearinghouse activities"
"522390"," Other activities related to credit intermediation"
"523150"," Investment banking and securities intermediation"
"523160"," Commodity contracts intermediation"
"523210"," Securities and commodity exchanges"
"523910"," Miscellaneous intermediation"
"523940"," Portfolio management and investment advice"
"523991"," Trust, fiduciary, and custody activities"
"523999"," Miscellaneous financial investment activities"
"524113"," Direct life insurance carriers"
"524114"," Direct health and medical insurance carriers"
"524126"," Direct property and casualty insurance carriers"
"524127"," Direct title insurance carriers"
"524128"," Other direct insurance (except life, health, and medical) carriers"
"524130"," Reinsurance carriers"
"524210"," Insurance agencies and brokerages"
"524291"," Claims adjusting"
"524292"," Pharmacy benefit management and other third party administration of insurance and pension funds"
"524298"," All other insurance related activities"
"525110"," Pension funds"
"525120"," Health and welfare funds"
"525190"," Other insurance funds"
"525910"," Open-end investment funds"
"525920"," Trusts, estates, and agency accounts"
"525990"," Other financial vehicles"
"531110"," Lessors of residential buildings and dwellings"
